Actor,Instagram Followers
Ramsey Nouah,1300000
Richard Mofe Damijo,3300000
Hanks Anuku,83700
Osita Iheme,1500000
O. C. Ukeje,196800
Uzee Usman,432300
Timini Egbuson,2000000
Jide Kene Achufusi,362200
Jim Iyke,2600000
Jimmie Akinsola,131200
Olumide Oworu,523700
Adewale Akinnuoye-Agbaje,99900
Bovi,4000000
Tobi Bakre,2900000
Emeka Enyiocha,118200
Mr Macaroni,4099999
Olu Jacobs,142400
Tope Tedela,70100
Mike Bamiloye,988200
Tobi Makinde,499300
Pete Edochie,576900
Saint Obi,21600
Lateef Adedimeji,4500000
Broda Shaggi,12600000
Dele Odule,225100
Femi Branch,Not found
Efa Iwara,277600
Femi Adebayo,3600000
Francis Odega,57700
Odunlade Adekola,6800000
Muyiwa Ademola,2100000
Chet Anekwe,2900
Okey Bakassi,Not found
Saheed Balogun,785500
Joseph Benjamin,198000
Yul Edochie,2600000
Segun Arinze,7700
Alex Ekubo,4700000
Deyemi Okanlawon,1100000
Ken Erics,2600000
Mike Ezuruonye,4000000
Chinedu Ikedieze,2100000
Hakeem Kae-Kazim,20500
Daniel Etim Effiong,740600
Rotimi Salami,1400000
Tosin Igho,14100
Jide Kosoko,374800
Ayo Makun,13300000
Zack Orji,87600
Ali Nuhu,3000000
Dele Odule,225100
Dede One Day,29000
Clem Ohameze,3800
John Okafor,777100
Dayo Okeniyi,49300
Babatunde Omidina,2400
Emeka Ossai,4100
Nkem Owoh,289800
David Oyelowo,279800
Afeez Oyetoro,146400
Kola Oyewo,890
Adebayo Salami,781200
Sunday Omobolanle,14500
Yemi Shodimu,4100
Ime Bishop Umoh,1000000
Nonso Diobi,742100
Charles Inojie,1600000
Desmond Elliot,1500000
Kanayo O. Kanayo,1900000
Segun Arinze,7700
Emeka Ike,266800
Sam Dede,222800
Kenneth Okonkwo,394900
Uzee Usman,432300
Chidi Mokeme,818400
Zubby Michael,6500000
Ifeanyi Emmanuel Igboke,103700
Falz,9500000
Kunle Remi,1400000
Chris Okagbue,415600
Francis Duru,132200
Pat Attah,136400
Bob-Manuel Udokwu,115000
Alex Asogwa,290
Liz Da-Silva,1800000
Genevieve Nnaji,Not found
Omotola Jalade Ekeinde,5700000
Sola Sobowale,1800000
Funke Akindele,16800000
Joke Silva,846600
Rita Dominic,7700000
Mercy Johnson,14600000
Kate Henshaw,3300000
Funlola Aofiyebi-Raimi,Not found
Ini Edo,Not found
Nse Ikpe Etim,1100000
Osas Ighodaro,1200000
Nancy Isime,5800000
Yvonne Jegede,2700000
Caroline Danjuma,200
Lilian Esoro,2200000
Adesua Etomi,5900000
Oghenekaro Itene,186500
Bimbo Ademoye,4000000
Efe Irele,774800
Mary Lazarus,1200000
Uzo Aduba,2200000
Tonto Dikeh,7800000
Liz Benson,Not found
Kehinde Bankole,1100000
Fathia Balogun,2400000
Genoveva Umeh,374600
Tomi Odunsi,69700
Stephanie Okereke,Not found
Linus,1800000
Nafisa Abdullahi,2300000
Adunni Ade,3400000
Ayo Adesanya,1000000
Taiwo Ajai Lycett,29000
Nikki Amuka-Bird,20
Rosaline Meurer,532800
Regina Askia,217900
Dorcas Shola-Fapson,623300
Monalisa Chinda,2000000
Chioma Chukwuka,7200000
Abiodun Duro-Ladipo,370
Megalyn Echikunwoke,104700
Adesua Etomi-Wellington,5900000
Carmen Ejogo,76100
Tamara Eteimo,161200
Hadiza Gabon,2800000
Regina Daniels,14700000
Rahama Sadau,3300000
Muma Gee,310
Shan George,313900
Biola Adebayo,1800000
Adebimpe Oyebade,2400000
Uyoyou Adia,6000
Kate Henshaw,3300000
Chika Ike,4600000
Carol King,297100
Bisi Komolafe,790
Annie Macaulay-Idibia,8100000
Lola Margaret,656700
Iyabo Ojo,6600000
Sharon Ooja,1300000
Sophie Okonedo,300
Chioma Okoye,18400
Oge Okoye,2800000
Moji Olaiya,199400
Kiki Omeili,200700
Racheal Oniga,24300
Bimbo Oshin,2300000
Patience Ozokwor,1800000
Helen Paul,4099999
Lisa Omorodion,232600
Idowu Philips,681400
Toni Tones,405100
Mary Uranta,105300
Bukky Wright,1200000
Folake Olowofoyeku,Not found
Sharon Ooja,1300000
Ngozi Ezeonu,1800000
Beverly Naya,1100000
Beverly Osu,907600
Abimbola Craig,Not found
Ruth Kadiri,6300000
Weruche Opia,42100
Yvonne Orji,1300000
Toyin Abraham,9200000
Mercy Aigbe,Not found
Simi Drey,142400
Fisayomi,219700
Abebi Obot Etuk,1600
Lilian Bach,120500
Camilla Mberekpe,110
Chiege Alisigwe,259800
Eucharia-Anunobi Ekwu,756800
Empress Njamah,1100000
Nkiru Sylvanus,285500
Hilda Dokubo,626000
Steph-Nora Okere,6400
Rita Nzelu,26500
Jennifer Eliogu,367700
Clarion Chukwura,122800
Alex Lopez,71600
Uche Jumbo,4600000
Florence Onuma,23400
Sandra Achums,71600
Susan Patrick,7400
