Actors/Actresses,Gender,Facebook Followers,Instagram Followers,Twitter followers,Total Followers,BON AWARD,BON AWARD NOMINATION,AMVCA AWARDS,AMVCA NOMINATIONS,AMAA,AMAA NOMINATION,NEA AWARD,NEA NOMINATION,TOTAL AWARDS WON,TOTAL NOMINATION
Adesua Etomi-Wellington,FEMALE,191200,5900000,596200,6687400,,1,1,1,,1,,1,5,14
Adunni Ade,FEMALE,1100000,3400000,80000,4580000,,,,,,,,,,
Alex Ekubo,Male,3200000,4700000,146700,8046700,3,2,,,,,,,6,2
Ali Nuhu,Male,3600000,3000000,501500,7101500,4,,,,1,,,,27,4
Annie Macaulay-Idibia,FEMALE,594700,8100000,215300,8910000,,1,,,,,,,1,1
Ayo Makun,Male,8500000,13300000,2300000,24100000,,,,,,,,,,
Bimbo Ademoye,FEMALE,645000,4000000,64000,4709000,2,2,1,4,,,,,4,6
Bovi,Male,858000,4000000,146500,5004500,,,,2,,,,,1,2
Broda Shaggi,Male,9900000,12600000,199600,22699600,,,2,1,,,,,2,2
Chika Ike,FEMALE,4500000,4600000,274400,9374400,,,,,,2,,,11,7
Chioma Chukwuka,FEMALE,45700,7200000,321700,7567400,,1,,2,1,1,,1,2,17
Desmond Elliot,Male,2600000,1500000,16100,4116100,,,,,,,,,,
Falz,Male,2200000,9500000,3100000,14800000,,,1,,,,,,1,1
Fathia Balogun,FEMALE,689300,2400000,35900,3125200,,,,,,,,,,
Femi Adebayo,Male,2500000,3600000,152800,6252800,3,3,1,3,,1,,,,
Funke Akindele,FEMALE,2400000,16800000,1500000,20700000,,,,,,,,,,
Genevieve Nnaji,FEMALE,5800000,8500000,2700000,17000000,,,,,,,,,,
Hadiza Gabon,FEMALE,1600000,2800000,509700,4909700,,,,,,,,,,
Helen Paul,FEMALE,57000,4099999,490,4157489,,,,,,,,,,
Ini Edo,FEMALE,8000000,14000000,474500,22474500,,,,,,,,,,
Iyabo Ojo,FEMALE,2400000,6600000,132200,9132200,,,,,,,,,,
Kanayo O. Kanayo,Male,1400000,1900000,93800,3393800,,,,,,,,,,
Kate Henshaw,FEMALE,1100000,3300000,1300000,5700000,,,,,,,,,,
Kate Henshaw,FEMALE,1100000,3300000,1300000,5700000,,,,,,,,,,
Lateef Adedimeji,Male,239300,4500000,282000,5021300,2,3,,,,1,,,,
Mercy Aigbe,FEMALE,1500000,11800000,130600,13430600,,,,,,,,,,
Mercy Johnson,FEMALE,14300000,14600000,560100,29460100,,,,,,,,,,
Mike Ezuruonye ,Male,341000,4000000,84200,4425200,,,,1,1,,,,,
Monalisa Chinda,FEMALE,1900000,2000000,406500,4306500,,,,,,,,,,
Mr Macaroni,Male,4800000,4099999,3800000,12699999,,,,,,,,,,
Nafisa Abdullahi,FEMALE,2100000,2300000,276200,4676200,,,,,,,,,,
Nancy Isime,FEMALE,2100000,5800000,8500,7908500,,,,,,,,,,
Odunlade Adekola,Male,3100000,6800000,88900,9988900,,2,2,,,,,,,
Oge Okoye,FEMALE,2900000,2800000,33200,5733200,,,,,,,,,,
Omotola Jalade Ekeinde,FEMALE,6200000,5700000,1500000,13400000,,,,,,,,,,
Rahama Sadau,FEMALE,1300000,3300000,1000000,5600000,,,,,,,,,,
Ramsey Nouah,Male,2200000,1300000,17400,3517400,1,3,1,1,2,1,,,,
Regina Daniels,FEMALE,11800000,14700000,1500,26501500,,,,,,,,,,
Richard Mofe Damijo,Male,1100000,3300000,1045000,5445000,1,,,3,,,,1,,
Rita Dominic,FEMALE,1900000,7700000,1400000,11000000,,,,,,,,,,
Ruth Kadiri,FEMALE,5700000,6300000,44300,12044300,,,,,,,,,,
Tobi Bakre,Male,354000,2900000,2000,3256000,,2,1,,,,,,,
Tonto Dikeh,FEMALE,6800000,7800000,1600000,16200000,,,,,,,,,,
Toyin Abraham,FEMALE,205100,9200000,296800,9701900,,,,,,,,,,
Uche Jumbo,FEMALE,4600000,4600000,1200000,10400000,,,,,,,,,,
Uzo Aduba,FEMALE,982800,2200000,450900,3633700,,,,,,,,,,
Yul Edochie,Male,3300000,2600000,705700,6605700,,,,,,,,,,
Yvonne Jegede,FEMALE,1500000,2700000,14600,4214600,,,,,,,,,,
Zubby Michael,Male,13000,6500000,8300,6521300,,,,,,,,,,
