Actors/Actresses,Gender,Facebook Followers,Instagram Followers,Twitter followers,Total Followers,Net_Worth,BON AWARD,BON AWARD NOMINATION,AMVCA AWARDS,AMVCA NOMINATIONS,AMAA,AMAA NOMINATION,NEA AWARD,NEA NOMINATION,TOTAL AWARDS WON,TOTAL NOMINATION
Adesua Etomi-Wellington,FEMALE,191200,5900000,596200,6687400,1.4M,,1,1,1,,1,,1,5,14
Adunni Ade,FEMALE,1100000,3400000,80000,4580000,1M,,,,,,,,,,
Alex Ekubo,Male,3200000,4700000,146700,8046700,1M,3,2,,,,,,,6,2
Ali Nuhu,Male,3600000,3000000,501500,7101500,1M,4,,,,1,,,,27,4
Annie Macaulay-Idibia,FEMALE,594700,8100000,215300,8910000,5M,,1,,,,,,,1,1
Ayo Makun,Male,8500000,13300000,2300000,24100000,500000,,,,,,,,,,
Bimbo Ademoye,FEMALE,645000,4000000,64000,4709000,250000,2,2,1,4,,,,,4,6
Bovi,Male,858000,4000000,146500,5004500,1.4M,,,,2,,,,,1,2
Broda Shaggi,Male,9900000,12600000,199600,22699600,200000,,,2,1,,,,,2,2
Chika Ike,FEMALE,4500000,4600000,274400,9374400,1M,,,,,,2,,,11,7
Chioma Chukwuka,FEMALE,45700,7200000,321700,7567400,1M,,1,,2,1,1,,1,2,17
Desmond Elliot,Male,2600000,1500000,16100,4116100,5M,,,,,,,,,,
Falz,Male,2200000,9500000,3100000,14800000,300000,,,1,,,,,,1,1
Fathia Balogun,FEMALE,689300,2400000,35900,3125200,200000,,,1,,,,,,,
Femi Adebayo,Male,2500000,3600000,152800,6252800,500000,3,3,1,3,,1,,,2,
Funke Akindele,FEMALE,2400000,16800000,1500000,20700000,7.6M,,2,5,11,1,,1,1,27,19
Genevieve Nnaji,FEMALE,5800000,8500000,2700000,17000000,10M,1,2,1,2,,,2,6,11,15
Hadiza Gabon,FEMALE,1600000,2800000,509700,4909700,450000,1,,,,,,,,6,2
Helen Paul,FEMALE,57000,4099999,490,4157489,1.5M,,,,,,,,,6,
Ini Edo,FEMALE,8000000,14000000,474500,22474500,4M,1,,,2,,2,,,8,13
Iyabo Ojo,FEMALE,2400000,6600000,132200,9132200,600000,1,5,,,,,,,1,5
Kanayo O. Kanayo,Male,1400000,1900000,93800,3393800,2.5M,,1,,,2,3,,1,3,6
Kate Henshaw,FEMALE,1100000,3300000,1300000,5700000,1M,1,,,,,,,,1,
Lateef Adedimeji,Male,239300,4500000,282000,5021300,800000,2,3,,,,1,,,6,7
Mercy Aigbe,FEMALE,1500000,11800000,130600,13430600,1M,,2,,,,,,,2,3
Mercy Johnson,FEMALE,14300000,14600000,560100,29460100,2M,1,2,1,3,1,,,3,6,17
Mike Ezuruonye,Male,341000,4000000,84200,4425200,2M,,,,1,1,,,,,7
Monalisa Chinda,FEMALE,1900000,2000000,406500,4306500,2M,,,,,,,,,,3
Mr Macaroni,Male,4800000,4099999,3800000,12699999,200000,,2,,1,,,,,3,3
Nafisa Abdullahi,FEMALE,2100000,2300000,276200,4676200,1.5M,,,,,2,,,,7,2
Nancy Isime,FEMALE,2100000,5800000,8500,7908500,1.5M,1,2,,2,,,,,6,6
Odunlade Adekola,Male,3100000,6800000,88900,9988900,2.1M,,2,2,,,,,,3,2
Oge Okoye,FEMALE,2900000,2800000,33200,5733200,1M,,,,,1,,,,,
Omotola Jalade Ekeinde,FEMALE,6200000,5700000,1500000,13400000,7.2M,,,,,,,,,,2
Rahama Sadau,FEMALE,1300000,3300000,1000000,5600000,500000,,2,,,,,,,4,2
Ramsey Nouah,Male,2200000,1300000,17400,3517400,1M,1,3,1,1,2,1,,,4,5
Regina Daniels,FEMALE,11800000,14700000,1500,26501500,5M,,1,,,,,,,,2
Richard Mofe Damijo,Male,1100000,3300000,1045000,5445000,8M,1,,,3,,,,1,3,7
Rita Dominic,FEMALE,1900000,7700000,1400000,11000000,3M,2,1,4,3,1,3,1,3,15,15
Ruth Kadiri,FEMALE,5700000,6300000,44300,12044300,1M,,1,,,,,1,,2,7
Tobi Bakre,Male,354000,2900000,2000,3256000,500000,,2,1,,,,,,1,3
Tonto Dikeh,FEMALE,6800000,7800000,1600000,16200000,2M,,,,,,,,,,
Toyin Abraham,FEMALE,205100,9200000,296800,9701900,1.6M,,2,1,2,,,,,2,4
Uche Jumbo,FEMALE,4600000,4600000,1200000,10400000,2M,,4,,1,,3,,,10,13
Uzo Aduba,FEMALE,982800,2200000,450900,3633700,,,,,,,,,,,
Yul Edochie,Male,3300000,2600000,705700,6605700,1.8M,,,,,,,,,3,4
Yvonne Jegede,FEMALE,1500000,2700000,14600,4214600,80000,,,1,,1,,,,4,
Zubby Michael,Male,13000,6500000,8300,6521300,800000,,1,,,,,,1,1,9
